person,position,start,end,prev,next,ps
Q100779990,Q19305384,2020-10-26,,,,statement/Q100779990-2fb04dfc-48d7-4ce3-df24-f9154ce9f4f9
Q104369381,Q19305384,2020-12-15,2021-02-15,,,statement/Q104369381-FED8EE5F-D2D0-4B52-9677-EFED7F4C57E7
Q104904685,Q19305384,2021-01-19,,,,statement/Q104904685-cd427424-490b-b766-de21-0a721cdbdb19
Q106408195,Q19305384,2021-04-06,,,,statement/Q106408195-2333de77-473b-fdd6-5f05-ffcebeabef3d
Q108894465,Q19305384,2021-09-28,2022-02-02,,,statement/Q108894465-62F82EC9-ACD6-4244-9D29-5C31A21451A3
Q110589820,Q19305384,2022-01-18,,,,statement/Q110589820-55200e74-45fa-6117-e3bb-547ee18d2103
Q110589846,Q19305384,2022-01-18,,,,statement/Q110589846-044f819f-4065-f26f-db6e-e4342bc466de
Q114246,Q19305384,2019-06-11,,,,statement/Q114246-e0b56e5c-438e-36f5-7503-f3161e117caa
Q11960335,Q19305384,2015-06-09,,,,statement/Q11960335-c9ad3771-461e-3099-f774-bfaa18fe66ab
Q12013388,Q19305384,2007-06-12,2013-05-14,,,statement/Q12013388-DACAF2D0-AF5F-43D0-AC33-47BF5AE64D62
Q12013494,Q19305384,2007-06-12,2014-07-02,,,statement/Q12013494-0642438D-0F40-417E-A457-73E91441A332
Q13487753,Q19305384,2013-06-18,2015-06-09,,,statement/Q13487753-99EA0229-685B-4DD9-A57F-A6A5DE638C7C
Q1358714,Q19305384,1995-06-13,2000-11-01,,,statement/Q1358714-78717901-A49F-411E-8669-B20662CFFB89
Q13637589,Q19305384,2007-06-12,2019-06-11,,,statement/Q13637589-FEE0601A-C625-4849-B684-2A6B063466FF
Q13641749,Q19305384,2019-06-11,2021-01-15,,,statement/Q13641749-711d848d-4ac3-2482-1cd7-250f65170261
Q13653571,Q19305384,2004-09-28,2015-06-09,,,statement/Q13653571-B49AB02E-945A-446D-957D-C291D0B886EE
Q13724705,Q19305384,2015-06-09,2019-03-01,,,statement/Q13724705-77E410C1-E729-4FA7-8F3A-6CED7AB240EA
Q13724705,Q19305384,2021-04-06,,,,statement/Q13724705-e69efcbe-45e2-ed62-ff5b-1de1b859c064
Q13815606,Q19305384,2011-06-07,2015-06-09,,,statement/Q13815606-A94B28A4-F7B9-4FC2-BE9A-60BF5571C0E4
Q13815905,Q19305384,2011-06-07,,,,statement/Q13815905-4B049023-BF53-40BE-B01A-D14D4CD211AD
Q13895784,Q19305384,1993-09-07,2007-06-12,,,statement/Q13895784-0728F22D-9C49-4BE4-B73E-F16D711D7927
Q1397450,Q19305384,1999-06-08,2003-06-10,,,statement/Q1397450-95E20C58-6CDB-4D63-8911-554D7F1EC11E
Q14520235,Q19305384,2011-06-07,2017-10-25,,,statement/Q14520235-29356337-0048-4A47-8BE0-C04C59763215
Q14520235,Q19305384,2011-06-07,2017-10-26,,,statement/Q14520235-29356337-0048-4A47-8BE0-C04C59763215
Q1452565,Q19305384,2003-06-10,2015-06-09,,,statement/Q1452565-1c018986-4c34-bec5-0c5f-7f4e0aeb1600
Q1465250,Q19305384,1999-06-08,2003-06-10,,,statement/Q1465250-B0D83C15-7E5E-45AB-8048-C44084E98EF8
Q1488358,Q19305384,2003-06-10,2013-02-05,,,statement/Q1488358-22B48C93-6136-4BB3-9671-9E1DEAA937A5
Q15117604,Q19305384,2017-03-28,,,,statement/Q15117604-537aa44e-4c1e-991c-18e0-6829e3c19443
Q15429477,Q19305384,1999-06-08,2000-07-15,,,statement/Q15429477-B54BACBB-1EE9-4C94-B22C-10B28AEF640F
Q1677559,Q19305384,1999-06-08,2004-09-07,,,statement/Q1677559-B37586B0-D421-41C1-BC7F-234CB6F09006
Q1682076,Q19305384,2011-06-07,2019-06-11,,,statement/Q1682076-b7b17c31-4f59-f30c-fab8-4ded8ed052d0
Q17106398,Q19305384,2016-10-04,2019-06-11,,,statement/Q17106398-0C4706C0-7DF7-4063-803A-63911C8E0160
Q17427994,Q19305384,2014-07-08,2017-03-23,,,statement/Q17427994-5C88CF46-CC68-4709-85A7-4AB2B257E877
Q1810168,Q19305384,2011-06-07,,,,statement/Q1810168-1DC09684-BCC4-475B-BB3A-99108A47BF4D
Q1820840,Q19305384,2007-06-12,2007-09-25,,,statement/Q1820840-C1519731-067F-4250-B278-B8017553340A
Q1820840,Q19305384,2007-06-12,2011-06-07,,,statement/Q1820840-C1519731-067F-4250-B278-B8017553340A
Q1820840,Q19305384,2007-09-25,2011-06-07,,,statement/Q1820840-d2dbfe7a-4978-2dff-b45e-438959cb38e8
Q18226118,Q19305384,2018-02-13,2019-06-11,,,statement/Q18226118-F70288C9-6DCF-45B5-8354-E2542D55B94F
Q1827647,Q19305384,2003-06-10,2005-04-18,,,statement/Q1827647-EE5A74C2-AE8F-4158-971F-4E796198C9D3
Q1845502,Q19305384,2003-06-10,2011-06-07,,,statement/Q1845502-4DDEB406-708B-49B2-80A8-B6108759E293
Q1854854,Q19305384,2011-06-07,,,,statement/Q1854854-24A4D273-5F8F-4EAC-A881-E26BAB762F0A
Q1888770,Q19305384,2003-06-10,2003-09-08,,,statement/Q1888770-FE2B8D14-A171-4808-A4E8-2A677E9396C2
Q1889236,Q19305384,2007-06-12,2015-06-09,,,statement/Q1889236-CEC32486-5D2B-4EA2-B683-1F5197131464
Q1899440,Q19305384,2012-11-06,,,,statement/Q1899440-6D548801-D00F-4A35-9D01-1532F8A72A34
Q1902653,Q19305384,2003-06-10,2007-06-12,,,statement/Q1902653-D4E7879D-AFB6-49C2-AE89-274DE2615DF9
Q1906932,Q19305384,2019-06-11,,,,statement/Q1906932-BEB316E1-8835-46CF-A152-EB63331180FF
Q1916958,Q19305384,2015-06-09,2016-12-01,,,statement/Q1916958-0cfc3dad-4431-d680-5cfc-2c3f56845c3e
Q1917082,Q19305384,2019-06-11,,,,statement/Q1917082-4cece95f-4362-3877-8704-5720113d1679
Q1920291,Q19305384,2013-05-14,,,,statement/Q1920291-3A802265-60F0-429F-B240-063968D5E7EA
Q1925167,Q19305384,2007-06-12,2019-06-11,,,statement/Q1925167-FD7F33C9-B0A0-4E6B-B25D-4EA2A2913C40
Q1931727,Q19305384,1995-06-13,2007-06-12,,,statement/Q1931727-BF82761F-30E3-4360-B491-22B8514B5415
Q1938630,Q19305384,2007-06-12,,,,statement/Q1938630-d070495f-4ba2-8e3b-7291-076fab379dad
Q1948092,Q19305384,2007-06-12,2011-06-07,,,statement/Q1948092-EE4062D6-A6A6-424A-AA77-03FB53DBBA50
Q1949253,Q19305384,2010-06-22,2011-06-07,,,statement/Q1949253-A814062C-9346-4079-9D84-9404B22A4044
Q1955961,Q19305384,2015-06-09,,,,statement/Q1955961-E5B6188E-2468-4AE5-A63C-2ED881A50528
Q1957483,Q19305384,2007-06-12,2013-01-15,,,statement/Q1957483-8f0aca54-4be5-2633-581c-3b7857802191
Q1966582,Q19305384,2007-06-12,2015-11-03,,,statement/Q1966582-4A9D8FEE-E40A-40B0-9DAE-8AAC3B5FACC5
Q19801955,Q19305384,2015-06-09,2017-03-22,,,statement/Q19801955-63dd15a3-451b-7520-17e8-7271e9869413
Q19801955,Q19305384,2015-06-09,2017-03-23,,,statement/Q19801955-63dd15a3-451b-7520-17e8-7271e9869413
Q19801965,Q19305384,1995-06-13,2003-06-10,,,statement/Q19801965-8C668FDE-D8CD-42AA-8AB6-1779170ACB66
Q19801988,Q19305384,2018-10-02,2019-06-11,,,statement/Q19801988-073b3cef-cfc6-42ea-bb87-2464e9b8c251
Q19802019,Q19305384,2015-06-09,2021-03-01,,,statement/Q19802019-3aaefb7c-420f-be29-d96c-e4baab4c0a51
Q19802044,Q19305384,2015-06-09,2019-06-11,,,statement/Q19802044-6EAAB5C7-4CEE-44ED-BDC8-41439769CB74
Q1992436,Q19305384,2013-01-15,2014-07-17,,,statement/Q1992436-E65BFCFF-2E91-4C1E-A734-BE367AA450DA
Q1994511,Q19305384,2019-06-11,,,,statement/Q1994511-cd2d2dec-4da0-d72a-1dd4-72d9ce777672
Q1994667,Q19305384,1999-06-08,2007-06-12,,,statement/Q1994667-B74F9958-3726-4B60-82CC-04EBE8AC2FE8
Q1995855,Q19305384,2011-06-07,2015-06-09,,,statement/Q1995855-8284cd1e-4ad8-9690-3746-a29a53f3253f
Q1995855,Q19305384,2019-06-11,,,,statement/Q1995855-EA879BE0-1713-46E6-9474-486BDCD1FBC0
Q1996478,Q19305384,2007-06-12,2009-09-14,,,statement/Q1996478-5B858059-3466-4327-835E-42457C3B5CD6
Q19971925,Q19305384,2015-06-09,,,,statement/Q19971925-897969C3-8717-4BE9-80C3-6C1823F25730
Q19986193,Q19305384,2015-06-09,2017-03-22,,,statement/Q19986193-6081163B-B958-4237-9EF2-999D02E1B2AB
Q19986193,Q19305384,2015-06-09,2017-03-23,,,statement/Q19986193-6081163B-B958-4237-9EF2-999D02E1B2AB
Q19988346,Q19305384,2015-06-09,2018-10-10,,,statement/Q19988346-5EDB8D1D-2BDE-44FD-BD64-54BF72D3DD2F
Q19988346,Q19305384,2019-03-12,2021-03-31,,,statement/Q19988346-3dfe67a1-45ef-f428-026f-37f41488ceb3
